Sample_ID	Library	Barcode	EO	EO_normalised	BL_inferred	Ingroup	n_raw_haps	n_after_step4	n_after_step4b	n_after_step7b	Step9_classification	Proteins_in_final_data	SI_functional_status	Dominant_failure_mode	BL_status	Final_status	Exclusion_stage	Exclusion_reason	Outcome_category
Library002_barcode57	2	57	68	EO68	BL2	1	32	28			low_functional_rate	6.0	Partial_translation_failure	mixed	Assigned	Included			Partial_translation_failure
Library002_barcode58	2	58	68	EO68	BL2	1	20	12			low_functional_rate	4.0	Partial_translation_failure	mixed	Assigned	Included			Partial_translation_failure
Library002_barcode59	2	59	38	EO38	BL3	1	0	0								Excluded	Stage 3 — no assembly	sample present in metadata but no haplotypes assembled by Canu — needs re-sequencing	Re_PCR
Library003_barcode60	3	60	67	EO67	BL4	1	20	20			low_functional_rate	2.0	Partial_translation_failure	premature_stop	Assigned	Included			Partial_translation_failure
Library003_barcode61	3	61	25	EO25	BL5	1	44	36			normal	20.0	Functional	mixed	Assigned	Included			Functional
Library003_barcode62	3	62	25	EO25	BL5	1	40	28			low_functional_rate	13.0	Partial_translation_failure	premature_stop	Assigned	Included			Partial_translation_failure
Library003_barcode63	3	63	67	EO67	BL4	1	32	28			low_functional_rate	5.0	Partial_translation_failure	mixed	Assigned	Included			Partial_translation_failure
Library003_barcode64	3	64	67	EO67	BL4	1	48	36			low_functional_rate	15.0	Partial_translation_failure	mixed	Assigned	Included			Partial_translation_failure
Library003_barcode65	3	65	25	EO25	BL5	1	24	16			normal	11.0	Functional	premature_stop	Assigned	Included			Functional
Library003_barcode66	3	66	76	EO76	BL3	1	32	20			normal	6.0	Functional	premature_stop	Assigned	Included			Functional
Library003_barcode67	3	67	25	EO25	BL5	1	24	20			normal	12.0	Functional	ambiguous_aa	Assigned	Included			Functional
Library003_barcode68	3	68	67	EO67	BL4	1	40	28			low_functional_rate	4.0	Partial_translation_failure	premature_stop	Assigned	Included			Partial_translation_failure
Library003_barcode69	3	69	25	EO25	BL5	1	36	36			low_functional_rate	8.0	Partial_translation_failure	mixed	Assigned	Included			Partial_translation_failure
Library003_barcode70	3	70	25	EO25	BL5	1	24	8			low_functional_rate	1.0	Partial_translation_failure	mixed	Assigned	Included			Partial_translation_failure
Library003_barcode71	3	71	25	EO25	BL5	1	72	44			low_functional_rate	14.0	Partial_translation_failure	mixed	Assigned	Included			Partial_translation_failure
Library003_barcode72	3	72	25	EO25	BL5	1	12	12			normal	12.0	Functional		Assigned	Included			Functional
Library003_barcode73	3	73	25	EO25	BL5	1	20	12			normal	6.0	Functional	premature_stop	Assigned	Included			Functional
Library003_barcode74	3	74	25	EO25	BL5	1	16	16			normal	12.0	Functional	premature_stop	Assigned	Included			Functional
Library003_barcode75	3	75	67	EO67	BL4	1	48	24			no_functional_proteins	0.0	Complete_loss	mixed		Excluded	Step 9 — no_functional_proteins	mixed premature_stop + ambiguous_aa failures — both LoF mutations AND data-quality issues; interpret cautiously (Top failures: premature_stop(18);ambiguous_aa(12))	Re_PCR
Library003_barcode76	3	76	76	EO76	BL3	1	28	28			low_functional_rate	11.0	Partial_translation_failure	premature_stop	Assigned	Included			Partial_translation_failure
Library003_barcode77	3	77	67	EO67	BL4	1	40	36			low_functional_rate	8.0	Partial_translation_failure	mixed	Assigned	Included			Partial_translation_failure
Library003_barcode78	3	78	67	EO67	BL4	1	20	16			low_functional_rate	4.0	Partial_translation_failure	premature_stop	Assigned	Included			Partial_translation_failure
Library004_barcode79	4	79	25	EO25	BL5	1	28	12			normal	10.0	Functional	premature_stop	Assigned	Included			Functional
Library004_barcode80	4	80	67	EO67	BL4	1	28	24			low_functional_rate	11.0	Partial_translation_failure	ambiguous_aa	Assigned	Included			Partial_translation_failure
Library004_barcode81	4	81	25	EO25	BL5	1	40	20			normal	11.0	Functional	premature_stop	Assigned	Included			Functional
Library004_barcode82	4	82	25	EO25	BL5	1	44	28			normal	8.0	Functional	mixed	Assigned	Included			Functional
Library004_barcode83	4	83	25	EO25	BL5	1	24	16			normal	10.0	Functional	ambiguous_aa	Assigned	Included			Functional
Library004_barcode84	4	84	76	EO76	BL3	1	32	28			low_functional_rate	4.0	Partial_translation_failure	premature_stop	Assigned	Included			Partial_translation_failure
Library004_barcode85	4	85	67	EO67	BL4	1	36	28			normal	16.0	Functional	premature_stop	Assigned	Included			Functional
Library004_barcode86	4	86	67	EO67	BL4	1	20	20			low_functional_rate	4.0	Partial_translation_failure	premature_stop	Assigned	Included			Partial_translation_failure
Library004_barcode87	4	87	76	EO76	BL3	1	24	20			normal	12.0	Functional	mixed	Assigned	Included			Functional
Library004_barcode88	4	88	67	EO67	BL4	1	20	16			low_functional_rate	4.0	Partial_translation_failure	mixed	Assigned	Included			Partial_translation_failure
Library004_barcode89	4	89	67	EO67	BL4	1	44	24			normal	12.0	Functional	mixed	Assigned	Included			Functional
Library004_barcode90	4	90	67	EO67	BL4	1	0	0								Excluded	Stage 3 — no assembly	sample present in metadata but no haplotypes assembled by Canu — needs re-sequencing	Re_PCR
Library005_barcode01	5	1	76	EO76	BL3	1	88	20			normal	11.0	Functional	mixed	Assigned	Included			Functional
Library005_barcode02	5	2	76	EO76	BL3	1	28	24			normal	12.0	Functional	mixed	Assigned	Included			Functional
Library005_barcode03	5	3	76	EO76	BL3	1	32	24			normal	10.0	Functional	mixed	Assigned	Included			Functional
Library005_barcode04	5	4	76	EO76	BL3	1	28	28			too_many_alleles	0.0	Functional	premature_stop		Excluded	Step 9 — too_many_alleles	>4 distinct proteins per individual — likely contamination / assembly artefact (Top failures: premature_stop(9))	Re_DNA_extraction
Library005_barcode05	5	5	76	EO76	BL3	1	40	28			low_functional_rate	7.0	Partial_translation_failure	mixed	Assigned	Included			Partial_translation_failure
Library005_barcode06	5	6	76	EO76	BL3	1	28	28			no_functional_proteins	0.0	Complete_loss	premature_stop		Excluded	Step 9 — no_functional_proteins	all sequences carry premature stop codons — strong candidate for ongoing SI breakdown / self-compatibility escape; recommend controlled selfing test to phenotype (Top failures: premature_stop(28);ambiguous_aa(12))	SI_escape_candidate
Library005_barcode07	5	7	76	EO76	BL3	1	36	32			too_many_alleles	0.0	Functional	mixed		Excluded	Step 9 — too_many_alleles	>4 distinct proteins per individual — likely contamination / assembly artefact (Top failures: ambiguous_aa(4);premature_stop(2))	Re_DNA_extraction
Library005_barcode08	5	8	76	EO76	BL3	1	40	40			normal	20.0	Functional	premature_stop	Assigned	Included			Functional
Library005_barcode09	5	9	76	EO76	BL3	1	64	32			low_functional_rate	10.0	Partial_translation_failure	ambiguous_aa	Assigned	Included			Partial_translation_failure
Library005_barcode10	5	10	76	EO76	BL3	1	48	36			normal	20.0	Functional	mixed	Assigned	Included			Functional
