EO	scenario	checkpoint_year	P_collapsed	N_adult_p10	k_alleles_p10	P_compat_p10	L_p10	N_adult_p50	k_alleles_p50	P_compat_p50	L_p50	N_adult_p90	k_alleles_p90	P_compat_p90	L_p90	delta_P_collapsed_vs_baseline
EO27	baseline	10	0.000	1869	21.0	0.347	0.003	3132	21.0	0.389	0.005	5142	21.0	0.430	0.008	+0.000
EO27	baseline	20	0.000	1809	21.0	0.341	0.001	3074	21.0	0.385	0.003	5204	21.0	0.428	0.004	+0.000
EO27	baseline	50	0.000	1855	21.0	0.333	0.001	3092	21.0	0.383	0.002	5119	21.0	0.428	0.004	+0.000
EO27	area_capped	10	0.000	2052	21.0	0.347	0.003	2982	21.0	0.390	0.005	4475	21.0	0.427	0.008	+0.000
EO27	area_capped	20	0.000	2006	21.0	0.341	0.001	2994	21.0	0.389	0.002	4527	21.0	0.428	0.004	+0.000
EO27	area_capped	50	0.000	2007	21.0	0.334	0.001	2972	21.0	0.382	0.002	4498	21.0	0.433	0.004	+0.000
EO27	catastrophe	10	0.000	1685	21.0	0.347	0.003	2996	21.0	0.389	0.005	4914	21.0	0.433	0.008	+0.000
EO27	catastrophe	20	0.000	1760	21.0	0.342	0.001	2959	21.0	0.388	0.003	5072	21.0	0.431	0.004	+0.000
EO27	catastrophe	50	0.000	1664	21.0	0.336	0.001	2971	21.0	0.385	0.002	5170	21.0	0.433	0.004	+0.000
EO27	K_decline_1pct	10	0.000	1634	21.0	0.349	0.003	2721	21.0	0.388	0.005	4729	21.0	0.431	0.008	+0.000
EO27	K_decline_1pct	20	0.000	1460	21.0	0.343	0.001	2554	21.0	0.385	0.003	4476	21.0	0.432	0.005	+0.000
EO27	K_decline_1pct	50	0.000	1117	21.0	0.338	0.001	1854	21.0	0.385	0.002	3218	21.0	0.431	0.004	+0.000
EO27	si_proper	10	0.000	1739	21.0	0.567	0.001	3004	21.0	0.583	0.001	5307	21.0	0.599	0.002	+0.000
EO27	si_proper	20	0.000	1836	21.0	0.603	0.000	3088	21.0	0.618	0.000	5365	21.0	0.632	0.000	+0.000
EO27	si_proper	50	0.000	1812	21.0	0.636	0.000	2990	21.0	0.651	0.000	5009	21.0	0.661	0.000	+0.000
EO27	sc_inbreeding	10	0.000	1695	21.0	0.345	0.003	3008	21.0	0.389	0.005	5124	21.0	0.429	0.008	+0.000
EO27	sc_inbreeding	20	0.000	1766	21.0	0.341	0.001	2842	21.0	0.385	0.003	5243	21.0	0.431	0.005	+0.000
EO27	sc_inbreeding	50	0.000	1885	21.0	0.331	0.001	3010	21.0	0.383	0.002	5218	21.0	0.429	0.004	+0.000
EO27	worst_case	10	0.000	1793	21.0	0.344	0.003	2776	21.0	0.387	0.005	4123	21.0	0.427	0.008	+0.000
EO27	worst_case	20	0.000	1526	21.0	0.336	0.001	2424	21.0	0.382	0.003	3500	21.0	0.434	0.005	+0.000
EO27	worst_case	50	0.000	1173	21.0	0.329	0.001	1764	21.0	0.382	0.002	2641	21.0	0.433	0.004	+0.000
EO67	baseline	10	0.000	32	11.0	0.133	0.000	55	11.0	0.188	0.008	99	11.0	0.247	0.029	+0.000
EO67	baseline	20	0.004	33	11.0	0.127	0.000	54	11.0	0.182	0.007	98	11.0	0.245	0.028	+0.000
EO67	baseline	50	0.012	33	11.0	0.124	0.000	56	11.0	0.185	0.006	92	11.0	0.248	0.025	+0.000
EO67	area_capped	10	0.000	32	11.0	0.140	0.000	54	11.0	0.191	0.008	90	11.0	0.249	0.024	+0.000
EO67	area_capped	20	0.002	31	11.0	0.127	0.000	54	11.0	0.185	0.007	92	11.0	0.248	0.023	-0.002
EO67	area_capped	50	0.008	32	11.0	0.124	0.000	54	11.0	0.185	0.006	91	11.0	0.252	0.022	-0.004
EO67	catastrophe	10	0.000	29	11.0	0.139	0.000	52	11.0	0.193	0.007	97	11.0	0.247	0.029	+0.000
EO67	catastrophe	20	0.006	30	11.0	0.132	0.000	53	11.0	0.187	0.007	93	11.0	0.242	0.023	+0.002
EO67	catastrophe	50	0.026	30	11.0	0.121	0.000	54	11.0	0.184	0.006	92	11.0	0.248	0.023	+0.014
EO67	K_decline_1pct	10	0.000	29	11.0	0.133	0.000	47	11.0	0.189	0.009	84	11.0	0.244	0.028	+0.000
EO67	K_decline_1pct	20	0.006	26	11.0	0.126	0.000	43	11.0	0.183	0.007	73	11.0	0.240	0.025	+0.002
EO67	K_decline_1pct	50	0.026	19	11.0	0.121	0.000	32	11.0	0.179	0.006	56	11.0	0.245	0.027	+0.014
