Sample_ID	Library	Barcode	input_reads	raw_reads	raw_total_bases	raw_p10_len	raw_median_len	raw_p90_len	raw_n50_len	raw_n_above_3kb	raw_pct_above_3kb	raw_mean_phred_all_bases	raw_mean_phred_per_read	canu_n_contigs_rep1	canu_n_contigs_rep2	canu_n_contigs_rep3	canu_n_contigs_rep4	canu_n_contigs_total	n_combined_contigs	n_unique_contigs	contig_min_len	contig_median_len	contig_max_len	contig_n50	contig_n_in_step4_range	contig_n_below_step4_min	contig_n_above_step4_max	contig_pct_in_step4_range	chim_n_keep	chim_n_drop	chim_median_uniformity	chim_pct_dropped	EO_normalised	BL_inferred	n_haps_OK	n_haps_REMOVED	n_haps_chimeric	n_haps_total	SI_status	Lab_action	Exclusion_stage	pass_si_threshold	failure_mode	recommended_action
Library002_barcode34	Library002	barcode34	511	21438	13804025	102	406	1638	1101	356	1.6606026681593433	32.42	30.77	2.0	1.0	2.0	3.0	8.0	8.0	7.0	3362.0	3366.0	3377.0	3366.0	7.0	0.0	0.0	100.0	7.0	0.0	0.469	0.0	EO84	Unassigned	15.0	0.0	13.0	15.0	SI	Functional / not flagged		True	none — SI call achieved	Use directly (sample is functional in current dataset).
Library002_barcode35	Library002	barcode35	516	18263	11696116	102	394	1642	1109	271	1.4838745003559108	32.04	30.34	3.0	4.0	5.0	2.0	14.0	14.0	13.0	1314.0	3358.0	3917.0	3368.0	9.0	4.0	0.0	69.2	8.0	5.0	0.275	38.5	EO52	BL3	15.0	0.0	21.0	15.0	SI	Functional / not flagged		True	none — SI call achieved	Use directly (sample is functional in current dataset).
Library002_barcode36	Library002	barcode36	530	18152	12361406	97	429	1747	1237	297	1.6361833406787132	32.16	30.1	1.0	1.0	1.0	1.0	4.0	4.0	4.0	3362.0	3363.0	3365.0	3364.0	4.0	0.0	0.0	100.0	4.0	0.0	0.522	0.0	EO704	Unassigned	7.0	0.0	9.0	7.0	SI	Functional / not flagged		True	none — SI call achieved	Use directly (sample is functional in current dataset).
Library002_barcode37	Library002	barcode37	513	17505	11126305	94	392	1603	1105	255	1.4567266495287061	31.95	30.12	2.0	2.0	1.0	2.0	7.0	7.0	5.0	3359.0	3908.0	3911.0	3908.0	5.0	0.0	0.0	100.0	4.0	1.0	0.303	20.0	EO18	BL5	12.0	0.0	8.0	12.0	SI	Functional / not flagged		True	none — SI call achieved	Use directly (sample is functional in current dataset).
Library002_barcode38	Library002	barcode38	526	18420	11968906	92	398	1722	1181	302	1.6395222584147666	32.18	30.15	4.0	3.0	2.0	2.0	11.0	11.0	10.0	1395.0	3306.0	3361.0	3344.0	6.0	4.0	0.0	60.0	8.0	2.0	0.383	20.0	EO18	BL5	17.0	0.0	7.0	17.0	SI	Functional / not flagged		True	none — SI call achieved	Use directly (sample is functional in current dataset).
Library002_barcode39	Library002	barcode39	519	20114	12887661	99	373	1631	1159	458	2.2770209804116535	32.12	30.36	2.0	2.0	3.0	2.0	9.0	9.0	8.0	1510.0	3600.0	3916.0	3601.0	7.0	1.0	0.0	87.5	8.0	0.0	0.33	0.0	EO70	BL2	27.0	0.0	1.0	27.0	SI	Functional / not flagged		True	none — SI call achieved	Use directly (sample is functional in current dataset).
Library002_barcode40	Library002	barcode40	537	24360	16527030	102	425	1736	1191	367	1.506568144499179	32.13	30.23	3.0	1.0	3.0	2.0	9.0	9.0	9.0	3351.0	3359.0	3368.0	3359.0	9.0	0.0	0.0	100.0	8.0	1.0	0.454	11.1	EO08	BL1	26.0	0.0	10.0	26.0	SI	Re-DNA-extraction	Step 9 — too_many_alleles	True	none — SI call achieved	Use directly (sample is functional in current dataset).
Library002_barcode41	Library002	barcode41	532	20748	13829823	100	431	1706	1136	299	1.4411027568922306	32.27	30.52	1.0	2.0	5.0	6.0	14.0	14.0	13.0	2175.0	3360.0	3362.0	3360.0	8.0	5.0	0.0	61.5	10.0	3.0	0.346	23.1	EO24	BL5	22.0	0.0	10.0	22.0	SI	Re-DNA-extraction	Step 9 — too_many_alleles	True	none — SI call achieved	Use directly (sample is functional in current dataset).
Library002_barcode42	Library002	barcode42	535	20966	12907169	108	379	1538	1022	262	1.2496422779738625	32.11	30.32	2.0	1.0	2.0	1.0	6.0	6.0	5.0	3289.0	3364.0	3367.0	3364.0	5.0	0.0	0.0	100.0	5.0	0.0	0.504	0.0	EO29	BL1	16.0	0.0	4.0	16.0	SI	Functional / not flagged		True	none — SI call achieved	Use directly (sample is functional in current dataset).
Library002_barcode43	Library002	barcode43	505	18027	12286064	95	390	1794	1320	531	2.9455816275586617	32.12	30.15	1.0	2.0	2.0	3.0	8.0	8.0	8.0	3600.0	3906.0	3914.0	3906.0	8.0	0.0	0.0	100.0	4.0	4.0	0.186	50.0	EO118	BL3	25.0	0.0	7.0	25.0	SI	Functional / not flagged		True	none — SI call achieved	Use directly (sample is functional in current dataset).
