recipient_level	recipient_group	recipient_BL	recipient_N	k_recipient	donor_level	donor_group	donor_BL	donor_N	k_donor	tier	rank_in_tier	novel_alleles	shared_alleles	k_after_injection	pct_species_gap_closed	pct_observed_gap_closed	novel_allele_ids
EO	76	BL3	76	14	BL	BL4	BL4	98	28	cross-BL	1	20	8	34	44.4	57.1	Allele_004,Allele_005,Allele_017,Allele_020,Allele_023,Allele_025,Allele_026,Allele_028,Allele_029,Allele_030,Allele_031,Allele_035,Allele_036,Allele_037,Allele_038,Allele_039,Allele_042,Allele_044,Allele_045,Allele_051
EO	76	BL3	76	14	BL	BL5	BL5	92	23	cross-BL	2	16	7	30	35.6	45.7	Allele_002,Allele_003,Allele_015,Allele_017,Allele_019,Allele_024,Allele_025,Allele_028,Allele_031,Allele_033,Allele_037,Allele_038,Allele_039,Allele_044,Allele_045,Allele_052
EO	76	BL3	76	14	EO	27	BL4	61	22	cross-BL	3	14	8	28	31.1	40.0	Allele_004,Allele_005,Allele_017,Allele_020,Allele_025,Allele_028,Allele_029,Allele_035,Allele_036,Allele_037,Allele_038,Allele_039,Allele_044,Allele_051
EO	76	BL3	76	14	EO	25	BL5	51	14	cross-BL	4	8	6	22	17.8	22.9	Allele_019,Allele_024,Allele_028,Allele_031,Allele_033,Allele_037,Allele_038,Allele_039
EO	76	BL3	76	14	EO	18	BL5	37	13	cross-BL	5	8	5	22	17.8	22.9	Allele_002,Allele_003,Allele_015,Allele_017,Allele_028,Allele_039,Allele_044,Allele_052
EO	76	BL3	76	14	EO	67	BL4	37	10	cross-BL	6	6	4	20	13.3	17.1	Allele_023,Allele_026,Allele_030,Allele_031,Allele_042,Allele_045
EO	76	BL3	76	14	BL	BL2	BL2	77	7	cross-BL	7	4	3	18	8.9	11.4	Allele_039,Allele_041,Allele_048,Allele_050
EO	76	BL3	76	14	EO	70	BL2	74	6	cross-BL	8	4	2	18	8.9	11.4	Allele_039,Allele_041,Allele_048,Allele_050
EO	76	BL3	76	14	BL	BL1	BL1	11	5	cross-BL	9	1	4	15	2.2	2.9	Allele_025
EO	25	BL5	51	14	EO	18	BL5	37	13	within-BL	1	7	6	21	15.6	20.0	Allele_002,Allele_003,Allele_015,Allele_017,Allele_027,Allele_044,Allele_052
EO	25	BL5	51	14	BL	BL4	BL4	98	28	cross-BL	1	17	11	31	37.8	48.6	Allele_004,Allele_005,Allele_017,Allele_020,Allele_022,Allele_023,Allele_025,Allele_026,Allele_027,Allele_029,Allele_030,Allele_035,Allele_036,Allele_042,Allele_044,Allele_045,Allele_051
EO	25	BL5	51	14	EO	27	BL4	61	22	cross-BL	2	12	10	26	26.7	34.3	Allele_004,Allele_005,Allele_017,Allele_020,Allele_022,Allele_025,Allele_027,Allele_029,Allele_035,Allele_036,Allele_044,Allele_051
EO	25	BL5	51	14	BL	BL3	BL3	81	15	cross-BL	3	9	6	23	20.0	25.7	Allele_007,Allele_013,Allele_014,Allele_016,Allele_022,Allele_027,Allele_034,Allele_047,Allele_049
EO	25	BL5	51	14	EO	76	BL3	76	14	cross-BL	4	8	6	22	17.8	22.9	Allele_007,Allele_013,Allele_014,Allele_016,Allele_022,Allele_027,Allele_034,Allele_047
EO	25	BL5	51	14	EO	67	BL4	37	10	cross-BL	5	5	5	19	11.1	14.3	Allele_023,Allele_026,Allele_030,Allele_042,Allele_045
EO	25	BL5	51	14	BL	BL2	BL2	77	7	cross-BL	6	3	4	17	6.7	8.6	Allele_041,Allele_048,Allele_050
EO	25	BL5	51	14	EO	70	BL2	74	6	cross-BL	7	3	3	17	6.7	8.6	Allele_041,Allele_048,Allele_050
EO	25	BL5	51	14	BL	BL1	BL1	11	5	cross-BL	8	2	3	16	4.4	5.7	Allele_022,Allele_025
