Sample_ID	EO_normalised	BL_inferred	n_haps_OK	n_haps_REMOVED	n_haps_total	redo_priority	redo_action
Library011_barcode04	EO18	BL5	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library011_barcode05	EO18	BL5	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library011_barcode06	EO18	BL5	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library011_barcode08	EO18	BL5	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library011_barcode73	EO18	BL5	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library011_barcode74	EO18	BL5	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library011_barcode87	EO18	BL5	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library011_barcode88	EO18	BL5	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library009_barcode25	EO25	BL5	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library009_barcode33	EO25	BL5	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library009_barcode34	EO25	BL5	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library009_barcode35	EO25	BL5	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library009_barcode36	EO25	BL5	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library009_barcode37	EO25	BL5	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library009_barcode38	EO25	BL5	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library009_barcode39	EO25	BL5	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library009_barcode40	EO25	BL5	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library009_barcode41	EO25	BL5	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library009_barcode42	EO25	BL5	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library009_barcode43	EO25	BL5	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library009_barcode44	EO25	BL5	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
Library009_barcode45	EO25	BL5	0	0	0	high	Re-sequencing recommended (raw_haps < 4 → cannot resolve tetraploid SI status)
