Individual	Protein
Library003_barcode78	SRK_protein_003
Library003_barcode78	SRK_protein_003
Library003_barcode78	SRK_protein_014
Library003_barcode78	SRK_protein_014
Library004_barcode79	SRK_protein_003
Library004_barcode79	SRK_protein_003
Library004_barcode79	SRK_protein_003
Library004_barcode79	SRK_protein_003
Library004_barcode79	SRK_protein_003
Library004_barcode79	SRK_protein_003
Library004_barcode79	SRK_protein_003
Library004_barcode79	SRK_protein_003
Library004_barcode79	SRK_protein_003
Library004_barcode79	SRK_protein_003
Library004_barcode80	SRK_protein_004
Library004_barcode80	SRK_protein_004
Library004_barcode80	SRK_protein_004
Library004_barcode80	SRK_protein_004
Library004_barcode80	SRK_protein_004
Library004_barcode80	SRK_protein_004
Library004_barcode80	SRK_protein_004
Library004_barcode81	SRK_protein_005
Library004_barcode81	SRK_protein_006
Library004_barcode81	SRK_protein_006
Library004_barcode81	SRK_protein_005
Library004_barcode81	SRK_protein_006
Library004_barcode81	SRK_protein_006
Library004_barcode81	SRK_protein_005
Library004_barcode81	SRK_protein_006
Library004_barcode81	SRK_protein_006
Library004_barcode81	SRK_protein_005
Library004_barcode81	SRK_protein_005
Library004_barcode83	SRK_protein_007
Library004_barcode83	SRK_protein_007
Library004_barcode83	SRK_protein_008
Library004_barcode83	SRK_protein_008
Library004_barcode83	SRK_protein_008
Library004_barcode83	SRK_protein_008
Library004_barcode84	SRK_protein_009
Library004_barcode84	SRK_protein_009
Library004_barcode84	SRK_protein_009
Library004_barcode84	SRK_protein_009
Library004_barcode85	SRK_protein_010
Library004_barcode85	SRK_protein_010
Library004_barcode85	SRK_protein_010
Library004_barcode85	SRK_protein_010
Library004_barcode85	SRK_protein_010
Library004_barcode85	SRK_protein_010
Library004_barcode85	SRK_protein_010
Library004_barcode85	SRK_protein_011
Library004_barcode85	SRK_protein_010
Library004_barcode85	SRK_protein_010
Library004_barcode85	SRK_protein_010
Library004_barcode85	SRK_protein_010
Library004_barcode85	SRK_protein_011
Library004_barcode85	SRK_protein_010
Library004_barcode85	SRK_protein_010
Library004_barcode85	SRK_protein_010
Library004_barcode87	SRK_protein_012
Library004_barcode87	SRK_protein_012
Library004_barcode87	SRK_protein_012
Library004_barcode87	SRK_protein_012
Library004_barcode87	SRK_protein_013
Library004_barcode87	SRK_protein_013
Library004_barcode87	SRK_protein_013
Library004_barcode87	SRK_protein_013
Library004_barcode88	SRK_protein_014
Library004_barcode88	SRK_protein_014
Library004_barcode88	SRK_protein_014
Library004_barcode88	SRK_protein_014
Library004_barcode89	SRK_protein_010
Library004_barcode89	SRK_protein_010
Library004_barcode89	SRK_protein_010
Library004_barcode89	SRK_protein_010
Library004_barcode89	SRK_protein_010
Library004_barcode89	SRK_protein_010
Library004_barcode89	SRK_protein_010
Library004_barcode89	SRK_protein_010
Library004_barcode89	SRK_protein_010
Library004_barcode89	SRK_protein_010
Library004_barcode89	SRK_protein_010
Library004_barcode89	SRK_protein_010
Library005_barcode01	SRK_protein_040
Library005_barcode01	SRK_protein_040
Library005_barcode01	SRK_protein_040
Library005_barcode01	SRK_protein_041
Library005_barcode01	SRK_protein_042
Library005_barcode01	SRK_protein_041
Library005_barcode01	SRK_protein_042
Library005_barcode01	SRK_protein_041
Library005_barcode01	SRK_protein_042
Library005_barcode01	SRK_protein_041
Library005_barcode01	SRK_protein_042
Library005_barcode02	SRK_protein_022
Library005_barcode02	SRK_protein_043
Library005_barcode02	SRK_protein_022
Library005_barcode02	SRK_protein_043
Library005_barcode02	SRK_protein_022
Library005_barcode02	SRK_protein_043
Library005_barcode02	SRK_protein_022
Library005_barcode02	SRK_protein_043
Library005_barcode02	SRK_protein_022
Library005_barcode02	SRK_protein_022
Library005_barcode02	SRK_protein_022
Library005_barcode02	SRK_protein_022
Library005_barcode03	SRK_protein_009
Library005_barcode03	SRK_protein_044
Library005_barcode03	SRK_protein_045
Library005_barcode03	SRK_protein_044
Library005_barcode03	SRK_protein_030
Library005_barcode03	SRK_protein_009
Library005_barcode03	SRK_protein_044
Library005_barcode03	SRK_protein_009
Library005_barcode03	SRK_protein_044
Library005_barcode03	SRK_protein_030
Library005_barcode04	SRK_protein_009
Library005_barcode04	SRK_protein_013
Library005_barcode04	SRK_protein_009
Library005_barcode04	SRK_protein_044
Library005_barcode04	SRK_protein_013
Library005_barcode04	SRK_protein_009
Library005_barcode04	SRK_protein_044
Library005_barcode04	SRK_protein_013
Library005_barcode04	SRK_protein_009
Library005_barcode04	SRK_protein_044
Library005_barcode04	SRK_protein_045
Library005_barcode04	SRK_protein_045
Library005_barcode04	SRK_protein_045
Library005_barcode04	SRK_protein_045
Library005_barcode05	SRK_protein_046
Library005_barcode05	SRK_protein_046
Library005_barcode05	SRK_protein_046
Library005_barcode05	SRK_protein_046
Library005_barcode05	SRK_protein_046
Library005_barcode05	SRK_protein_046
Library005_barcode05	SRK_protein_046
Library005_barcode07	SRK_protein_041
Library005_barcode07	SRK_protein_047
Library005_barcode07	SRK_protein_022
Library005_barcode07	SRK_protein_047
Library005_barcode07	SRK_protein_022
Library005_barcode07	SRK_protein_045
Library005_barcode07	SRK_protein_022
Library005_barcode07	SRK_protein_022
Library005_barcode07	SRK_protein_022
Library005_barcode07	SRK_protein_045
Library005_barcode08	SRK_protein_048
Library005_barcode08	SRK_protein_009
Library005_barcode08	SRK_protein_044
Library005_barcode08	SRK_protein_048
Library005_barcode08	SRK_protein_009
Library005_barcode08	SRK_protein_044
Library005_barcode08	SRK_protein_048
Library005_barcode08	SRK_protein_009
Library005_barcode08	SRK_protein_044
Library005_barcode08	SRK_protein_048
Library005_barcode08	SRK_protein_009
Library005_barcode08	SRK_protein_044
Library005_barcode08	SRK_protein_048
Library005_barcode08	SRK_protein_048
Library005_barcode08	SRK_protein_048
Library005_barcode08	SRK_protein_048
Library005_barcode08	SRK_protein_048
Library005_barcode08	SRK_protein_048
Library005_barcode08	SRK_protein_048
